email_engagement_week,no_of_users,weekly_digest_sent,weekly_digest_sent_growth,email_open,email_open_growth,email_clickthrough,email_clickthrough_growth
17,981,908,NULL,310,NULL,166,NULL
18,2714,2602,1694,912,602,430,264
19,2787,2665,63,972,60,477,47
20,2874,2733,68,1004,32,507,30
21,2926,2822,89,1014,10,443,-64
22,3029,2911,89,987,-27,488,45
23,3134,3003,92,1075,88,538,50
24,3254,3105,102,1155,80,554,16
25,3343,3207,102,1096,-59,530,-24
26,3439,3302,95,1165,69,556,26
27,3543,3399,97,1228,63,621,65
28,3641,3499,100,1250,22,599,-22
29,3734,3592,93,1219,-31,590,-9
30,3866,3706,114,1383,164,630,40
31,3950,3793,87,1351,-32,445,-185
32,4023,3897,104,1337,-14,418,-27
33,4200,4012,115,1432,95,490,72
34,4294,4111,99,1528,96,490,0
35,48,0,-4111,41,-1487,38,-452
