user_id,count(user_id),per_week_retention
11768,1,0
11770,1,0
11775,2,1
11778,3,0
11779,5,1
11780,2,1
11785,1,0
11787,3,1
11791,2,1
11793,6,1
11795,2,1
11798,6,1
11799,10,1
11801,2,1
11804,2,1
11806,1,0
11809,1,0
11811,2,1
11813,6,0
11816,3,0
11818,2,1
11820,4,1
11823,3,1
11824,7,1
11825,3,1
11826,2,1
11828,3,1
11829,3,1
11832,4,1
11833,14,1
11834,2,1
11838,2,1
11839,1,0
11840,2,1
11841,6,1
11842,6,1
11843,3,1
11844,6,1
11849,3,1
11850,3,0
11852,5,1
11854,3,1
11858,6,1
11859,4,1
11863,6,1
11864,2,1
11865,3,1
11868,9,1
11872,2,1
11874,2,1
11875,2,1
11876,2,1
11877,8,1
11879,2,1
11881,6,1
11882,2,1
11884,1,0
11887,2,1
11888,5,0
11889,2,1
11893,14,1
11894,2,1
11895,3,1
11896,2,1
11898,1,0
11899,4,1
11900,6,1
11901,4,1
11906,12,1
11908,3,1
11909,7,1
11914,6,1
11919,2,0
11920,1,0
11924,1,0
11926,8,1
11928,8,0
11929,1,0
11931,6,1
11933,6,1
11936,3,0
11939,3,1
11940,4,1
11942,7,1
11944,3,1
11947,2,1
11949,7,1
11953,3,1
11955,5,0
11960,2,1
11961,1,0
11962,3,1
11963,4,1
11971,1,0
11972,6,0
11973,1,0
11975,2,1
11981,1,0
11984,5,1
11986,6,1
11990,3,0
11991,1,0
11992,7,1
11994,1,0
11995,1,0
11997,1,0
11998,6,0
11999,3,1
12001,8,1
12005,2,0
12007,11,1
12010,2,0
12014,5,1
12019,1,0
12021,1,0
12022,1,0
12023,5,1
12026,1,0
12027,1,0
12028,1,0
12029,4,1
12030,1,0
12031,1,0
12033,6,1
12034,14,1
12035,2,0
12040,7,0
12042,3,1
12045,2,0
12048,3,1
12050,5,1
12053,3,1
12054,9,1
12056,3,1
12057,1,0
12058,5,1
12061,2,1
12063,3,1
12066,4,1
12072,5,1
12073,4,1
12074,1,0
12076,3,1
12077,2,1
12079,9,1
12081,6,1
12082,1,0
12084,3,1
12085,2,1
12087,3,1
12089,2,1
12093,2,1
12095,9,1
12097,4,1
12101,2,1
12102,3,1
12103,1,0
12106,1,0
12107,6,1
12111,2,1
12113,2,0
12118,3,1
12119,4,1
12120,1,0
12121,1,0
12122,4,0
12127,7,1
12133,2,1
12135,2,1
12136,3,1
12137,4,1
12138,4,1
12141,2,1
12144,5,1
12147,4,1
12148,4,1
12149,4,1
12151,1,0
12152,8,1
12153,5,1
12161,6,1
12162,4,0
12164,13,1
12165,3,1
12167,3,1
12169,4,1
12170,6,1
12171,1,0
12173,3,1
12174,1,0
12176,3,1
12178,6,1
12180,2,1
12181,4,1
12183,3,1
12184,2,1
12185,6,1
12188,3,1
12189,5,1
12191,3,1
12193,2,1
12196,1,0
12202,2,1
12205,13,1
12208,2,1
12212,5,1
12213,3,1
12214,3,1
12216,9,1
12217,3,1
12221,7,1
12225,2,1
12227,3,1
12228,7,1
12230,2,1
12233,1,0
12235,1,0
12236,4,1
12237,8,1
12238,2,1
12241,7,1
12243,2,0
12246,9,1
12247,3,1
12248,12,1
12249,5,1
12250,6,1
12251,5,1
12256,2,1
12263,7,1
12265,4,1
12266,4,1
12267,2,1
12268,1,0
12270,2,1
12277,1,0
12279,1,0
12281,1,0
12282,1,0
12284,1,0
12285,1,0
12290,2,1
12291,2,1
12292,5,1
12293,3,1
12294,1,0
12296,1,0
12297,4,1
12301,3,0
12302,3,1
12303,1,0
12310,6,1
12311,5,1
12312,1,0
12313,3,1
